country,year,sex,age,population,suicides_per_100k,country_year,gdp_per_capita_dollars,generation
Albania,1993,female,75+ years,39300,0,Albania1993,437,G.I. Generation
Albania,1994,male,75+ years,24600,8.13,Albania1994,697,G.I. Generation
Albania,1994,male,55-74 years,171400,6.42,Albania1994,697,Silent
Albania,1994,female,75+ years,39900,5.01,Albania1994,697,G.I. Generation
Albania,1994,male,25-34 years,231400,2.59,Albania1994,697,Boomers
Albania,1994,male,35-54 years,362800,2.48,Albania1994,697,Boomers
Albania,1994,male,15-24 years,242200,2.48,Albania1994,697,Generation X
Albania,1994,female,15-24 years,282600,2.12,Albania1994,697,Generation X
Albania,1994,female,25-34 years,261100,1.53,Albania1994,697,Boomers
Albania,1994,female,35-54 years,342500,0.58,Albania1994,697,Boomers
Albania,1994,female,55-74 years,174600,0.57,Albania1994,697,Silent
Albania,1994,male,5-14 years,371800,0.27,Albania1994,697,Millenials
Albania,1994,female,5-14 years,344400,0,Albania1994,697,Millenials
Albania,1995,male,25-34 years,232900,5.58,Albania1995,835,Generation X
Albania,1995,male,55-74 years,178000,5.06,Albania1995,835,Silent
Albania,1995,female,75+ years,40800,4.9,Albania1995,835,G.I. Generation
Albania,1995,female,15-24 years,283500,4.59,Albania1995,835,Generation X
Albania,1995,male,15-24 years,241200,4.56,Albania1995,835,Generation X
Albania,1995,male,75+ years,25100,3.98,Albania1995,835,G.I. Generation
Albania,1995,male,35-54 years,375900,3.72,Albania1995,835,Boomers
Albania,1995,female,25-34 years,264000,2.65,Albania1995,835,Generation X
Albania,1995,female,35-54 years,356400,2.24,Albania1995,835,Boomers
Albania,1995,male,5-14 years,376500,1.59,Albania1995,835,Millenials
Albania,1995,female,55-74 years,180400,1.11,Albania1995,835,Silent
Albania,1995,female,5-14 years,348700,0.57,Albania1995,835,Millenials
Albania,1996,male,75+ years,25400,7.87,Albania1996,1127,G.I. Generation
Albania,1996,male,15-24 years,243600,6.98,Albania1996,1127,Generation X
Albania,1996,male,25-34 years,235300,5.95,Albania1996,1127,Generation X
Albania,1996,female,15-24 years,287700,5.56,Albania1996,1127,Generation X
Albania,1996,female,75+ years,41200,4.85,Albania1996,1127,G.I. Generation
Albania,1996,female,25-34 years,267900,3.73,Albania1996,1127,Generation X
Albania,1996,male,35-54 years,379600,3.16,Albania1996,1127,Boomers
Albania,1996,female,35-54 years,362000,2.49,Albania1996,1127,Boomers
Albania,1996,male,55-74 years,179900,1.67,Albania1996,1127,Silent
Albania,1996,female,55-74 years,183100,0.55,Albania1996,1127,Silent
Albania,1996,male,5-14 years,380400,0.53,Albania1996,1127,Millenials
Albania,1996,female,5-14 years,354100,0.28,Albania1996,1127,Millenials
Albania,1997,male,25-34 years,236000,15.25,Albania1997,793,Generation X
Albania,1997,male,15-24 years,244400,13.5,Albania1997,793,Generation X
Albania,1997,male,75+ years,25400,11.81,Albania1997,793,G.I. Generation
Albania,1997,male,35-54 years,380800,7.88,Albania1997,793,Boomers
Albania,1997,female,15-24 years,294000,7.14,Albania1997,793,Generation X
Albania,1997,male,55-74 years,180300,6.66,Albania1997,793,Silent
Albania,1997,female,25-34 years,273900,5.84,Albania1997,793,Generation X
Albania,1997,female,75+ years,42100,4.75,Albania1997,793,G.I. Generation
Albania,1997,female,35-54 years,370100,1.89,Albania1997,793,Boomers
Albania,1997,female,5-14 years,361800,1.66,Albania1997,793,Millenials
Albania,1997,male,5-14 years,381500,1.05,Albania1997,793,Millenials
Albania,1997,female,55-74 years,187000,0,Albania1997,793,Silent
Albania,1998,male,75+ years,25800,11.63,Albania1998,899,G.I. Generation
Albania,1998,male,15-24 years,248800,10.85,Albania1998,899,Generation X
Albania,1998,female,15-24 years,295600,10.83,Albania1998,899,Generation X
Albania,1998,male,25-34 years,240400,10.82,Albania1998,899,Generation X
Albania,1998,male,35-54 years,388200,7.47,Albania1998,899,Boomers
Albania,1998,male,55-74 years,183800,4.9,Albania1998,899,Silent
Albania,1998,female,25-34 years,275300,3.63,Albania1998,899,Generation X
Albania,1998,female,55-74 years,188200,3.19,Albania1998,899,Silent
Albania,1998,female,35-54 years,372100,2.42,Albania1998,899,Boomers
Albania,1998,male,5-14 years,388400,0.51,Albania1998,899,Millenials
Albania,1998,female,5-14 years,363800,0.27,Albania1998,899,Millenials
Albania,1998,female,75+ years,42300,0,Albania1998,899,G.I. Generation
Albania,1999,male,75+ years,25900,11.58,Albania1999,1127,G.I. Generation
Albania,1999,male,15-24 years,250600,9.58,Albania1999,1127,Generation X
Albania,1999,female,75+ years,42400,9.43,Albania1999,1127,G.I. Generation
Albania,1999,male,35-54 years,391100,7.93,Albania1999,1127,Boomers
Albania,1999,male,25-34 years,242300,7.84,Albania1999,1127,Generation X
Albania,1999,male,55-74 years,185200,7.56,Albania1999,1127,Silent
Albania,1999,female,15-24 years,296800,6.4,Albania1999,1127,Generation X
Albania,1999,female,25-34 years,276500,4.7,Albania1999,1127,Generation X
Albania,1999,female,55-74 years,188800,3.18,Albania1999,1127,Silent
Albania,1999,female,35-54 years,373600,1.34,Albania1999,1127,Boomers
Albania,1999,female,5-14 years,365200,0.27,Albania1999,1127,Millenials
Albania,1999,male,5-14 years,391300,0,Albania1999,1127,Millenials
Albania,2000,male,25-34 years,232000,7.33,Albania2000,1299,Generation X
Albania,2000,male,55-74 years,177400,5.64,Albania2000,1299,Silent
Albania,2000,female,75+ years,37800,5.29,Albania2000,1299,G.I. Generation
Albania,2000,male,75+ years,24900,4.02,Albania2000,1299,G.I. Generation
Albania,2000,female,15-24 years,263900,2.27,Albania2000,1299,Generation X
Albania,2000,male,15-24 years,240000,2.08,Albania2000,1299,Generation X
Albania,2000,female,35-54 years,332200,1.51,Albania2000,1299,Boomers
Albania,2000,female,25-34 years,245800,1.22,Albania2000,1299,Generation X
Albania,2000,male,35-54 years,374700,1.07,Albania2000,1299,Boomers
Albania,2000,male,5-14 years,374900,0.27,Albania2000,1299,Millenials
Albania,2000,female,5-14 years,324700,0,Albania2000,1299,Millenials
Albania,2000,female,55-74 years,168000,0,Albania2000,1299,Silent
Albania,2001,male,25-34 years,206484,10.65,Albania2001,1451,Generation X
Albania,2001,male,35-54 years,378826,8.98,Albania2001,1451,Boomers
Albania,2001,male,55-74 years,196670,5.59,Albania2001,1451,Silent
Albania,2001,female,75+ years,47254,4.23,Albania2001,1451,Silent
Albania,2001,male,15-24 years,256039,3.91,Albania2001,1451,Millenials
Albania,2001,female,15-24 years,271359,3.32,Albania2001,1451,Millenials
Albania,2001,female,35-54 years,370191,3.24,Albania2001,1451,Boomers
Albania,2001,male,75+ years,31044,3.22,Albania2001,1451,Silent
Albania,2001,female,55-74 years,189799,3.16,Albania2001,1451,Silent
Albania,2001,male,5-14 years,321556,1.87,Albania2001,1451,Millenials
Albania,2001,female,25-34 years,222771,1.8,Albania2001,1451,Generation X
Albania,2001,female,5-14 years,307356,0.65,Albania2001,1451,Millenials
Albania,2002,male,75+ years,31007,12.9,Albania2002,1573,Silent
Albania,2002,male,25-34 years,206286,11.15,Albania2002,1573,Generation X
Albania,2002,male,35-54 years,382139,9.16,Albania2002,1573,Boomers
Albania,2002,male,55-74 years,198130,6.56,Albania2002,1573,Silent
Albania,2002,male,15-24 years,263067,5.7,Albania2002,1573,Millenials
Albania,2002,female,15-24 years,275970,5.07,Albania2002,1573,Millenials
Albania,2002,female,35-54 years,375113,4,Albania2002,1573,Boomers
Albania,2002,female,25-34 years,223685,3.13,Albania2002,1573,Generation X
Albania,2002,female,75+ years,47407,2.11,Albania2002,1573,Silent
Albania,2002,female,55-74 years,191712,2.09,Albania2002,1573,Silent
Albania,2002,female,5-14 years,304850,0.33,Albania2002,1573,Millenials
Albania,2002,male,5-14 years,319473,0.31,Albania2002,1573,Millenials
Albania,2003,female,75+ years,49088,12.22,Albania2003,2021,Silent
Albania,2003,male,55-74 years,201520,7.94,Albania2003,2021,Silent
Albania,2003,male,35-54 years,386196,7.25,Albania2003,2021,Boomers
Albania,2003,male,15-24 years,273235,5.49,Albania2003,2021,Millenials
Albania,2003,female,15-24 years,283709,4.93,Albania2003,2021,Millenials
Albania,2003,female,55-74 years,195699,4.6,Albania2003,2021,Silent
Albania,2003,male,25-34 years,205433,4.38,Albania2003,2021,Generation X
Albania,2003,female,25-34 years,222941,4.04,Albania2003,2021,Generation X
Albania,2003,female,35-54 years,381760,3.41,Albania2003,2021,Boomers
Albania,2003,male,75+ years,32667,3.06,Albania2003,2021,Silent
Albania,2003,male,5-14 years,313204,1.28,Albania2003,2021,Millenials
Albania,2003,female,5-14 years,298477,0,Albania2003,2021,Millenials
Albania,2004,male,75+ years,35526,11.26,Albania2004,2544,Silent
Albania,2004,male,35-54 years,391767,9.95,Albania2004,2544,Boomers
Albania,2004,male,25-34 years,203938,7.85,Albania2004,2544,Generation X
Albania,2004,female,15-24 years,292268,6.84,Albania2004,2544,Millenials
Albania,2004,male,15-24 years,286768,6.63,Albania2004,2544,Millenials
Albania,2004,female,75+ years,50970,5.89,Albania2004,2544,Silent
Albania,2004,female,25-34 years,222389,4.95,Albania2004,2544,Generation X
Albania,2004,male,55-74 years,207202,4.83,Albania2004,2544,Silent
Albania,2004,female,35-54 years,391436,4.34,Albania2004,2544,Boomers
Albania,2004,female,55-74 years,203841,1.47,Albania2004,2544,Silent
Albania,2004,female,5-14 years,286705,1.05,Albania2004,2544,Millenials
Albania,2004,male,5-14 years,302181,0.33,Albania2004,2544,Millenials
Albania,2005,female,15-24 years,281922,0,Albania2005,2931,Millenials
Albania,2005,female,25-34 years,190745,0,Albania2005,2931,Generation X
Albania,2005,female,35-54 years,386513,0,Albania2005,2931,Boomers
Albania,2005,female,5-14 years,276559,0,Albania2005,2931,Millenials
Albania,2005,female,55-74 years,210998,0,Albania2005,2931,Silent
Albania,2005,female,75+ years,53191,0,Albania2005,2931,Silent
Albania,2005,male,15-24 years,281675,0,Albania2005,2931,Millenials
Albania,2005,male,25-34 years,177519,0,Albania2005,2931,Generation X
Albania,2005,male,35-54 years,380242,0,Albania2005,2931,Boomers
Albania,2005,male,5-14 years,291367,0,Albania2005,2931,Millenials
Albania,2005,male,55-74 years,214118,0,Albania2005,2931,Silent
Albania,2005,male,75+ years,38471,0,Albania2005,2931,Silent
Albania,2006,female,15-24 years,283138,0,Albania2006,3235,Millenials
Albania,2006,female,25-34 years,186391,0,Albania2006,3235,Generation X
Albania,2006,female,35-54 years,388746,0,Albania2006,3235,Boomers
Albania,2006,female,5-14 years,267316,0,Albania2006,3235,Millenials
Albania,2006,female,55-74 years,215907,0,Albania2006,3235,Silent
Albania,2006,female,75+ years,56011,0,Albania2006,3235,Silent
Albania,2006,male,15-24 years,286679,0,Albania2006,3235,Millenials
Albania,2006,male,25-34 years,174092,0,Albania2006,3235,Generation X
Albania,2006,male,35-54 years,379076,0,Albania2006,3235,Boomers
Albania,2006,male,5-14 years,282678,0,Albania2006,3235,Millenials
Albania,2006,male,55-74 years,219360,0,Albania2006,3235,Silent
Albania,2006,male,75+ years,40782,0,Albania2006,3235,Silent
Albania,2007,male,75+ years,42366,18.88,Albania2007,3863,Silent
Albania,2007,male,35-54 years,378626,7.66,Albania2007,3863,Boomers
Albania,2007,male,55-74 years,224160,6.25,Albania2007,3863,Silent
Albania,2007,female,75+ years,57404,5.23,Albania2007,3863,Silent
Albania,2007,male,25-34 years,172494,5.22,Albania2007,3863,Generation X
Albania,2007,female,15-24 years,281080,4.63,Albania2007,3863,Millenials
Albania,2007,male,15-24 years,288349,4.51,Albania2007,3863,Millenials
Albania,2007,female,25-34 years,183629,4.36,Albania2007,3863,Generation X
Albania,2007,female,55-74 years,221120,4.07,Albania2007,3863,Silent
Albania,2007,female,35-54 years,391811,3.57,Albania2007,3863,Boomers
Albania,2007,male,5-14 years,272497,1.47,Albania2007,3863,Generation Z
Albania,2007,female,5-14 years,256808,0,Albania2007,3863,Generation Z
Albania,2008,male,25-34 years,172855,12.15,Albania2008,4672,Generation X
Albania,2008,male,35-54 years,377119,9.81,Albania2008,4672,Boomers
Albania,2008,male,55-74 years,228672,9.18,Albania2008,4672,Silent
Albania,2008,female,75+ years,59369,8.42,Albania2008,4672,Silent
Albania,2008,female,15-24 years,276073,7.24,Albania2008,4672,Millenials
Albania,2008,female,25-34 years,182663,4.93,Albania2008,4672,Generation X
Albania,2008,female,35-54 years,393832,4.82,Albania2008,4672,Boomers
Albania,2008,male,75+ years,44574,4.49,Albania2008,4672,Silent
Albania,2008,male,15-24 years,286702,3.84,Albania2008,4672,Millenials
Albania,2008,female,55-74 years,226448,3.09,Albania2008,4672,Silent
Albania,2008,male,5-14 years,262464,2.67,Albania2008,4672,Generation Z
Albania,2008,female,5-14 years,246288,0.41,Albania2008,4672,Generation Z
Albania,2009,female,15-24 years,270003,0,Albania2009,4387,Millenials
Albania,2009,female,25-34 years,182712,0,Albania2009,4387,Generation X
Albania,2009,female,35-54 years,394286,0,Albania2009,4387,Boomers
Albania,2009,female,5-14 years,236174,0,Albania2009,4387,Generation Z
Albania,2009,female,55-74 years,233302,0,Albania2009,4387,Silent
Albania,2009,female,75+ years,61582,0,Albania2009,4387,Silent
Albania,2009,male,15-24 years,283448,0,Albania2009,4387,Millenials
Albania,2009,male,25-34 years,174955,0,Albania2009,4387,Generation X
Albania,2009,male,35-54 years,374365,0,Albania2009,4387,Boomers
Albania,2009,male,5-14 years,253007,0,Albania2009,4387,Generation Z
Albania,2009,male,55-74 years,234570,0,Albania2009,4387,Silent
Albania,2009,male,75+ years,47331,0,Albania2009,4387,Silent
Albania,2010,male,55-74 years,241852,8.27,Albania2010,4359,Silent
Albania,2010,male,35-54 years,371611,5.38,Albania2010,4359,Generation X
Albania,2010,male,25-34 years,179720,5.01,Albania2010,4359,Generation X
Albania,2010,male,75+ years,50767,3.94,Albania2010,4359,Silent
Albania,2010,male,15-24 years,279508,3.58,Albania2010,4359,Millenials
Albania,2010,female,25-34 years,183579,3.27,Albania2010,4359,Generation X
Albania,2010,female,75+ years,64415,3.1,Albania2010,4359,Silent
Albania,2010,female,35-54 years,394593,3.04,Albania2010,4359,Generation X
Albania,2010,female,55-74 years,241491,2.9,Albania2010,4359,Silent
Albania,2010,female,15-24 years,263581,2.28,Albania2010,4359,Millenials
Albania,2010,female,5-14 years,223969,0.89,Albania2010,4359,Generation Z
Albania,2010,male,5-14 years,240939,0,Albania2010,4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,7709,0,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,6344,0,Antigua and Barbuda1985,3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,6173,0,Antigua and Barbuda1985,3850,Silent
Antigua and Barbuda,1985,female,5-14 years,7339,0,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,3778,0,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,949,0,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,7667,0,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,6194,0,Antigua and Barbuda1985,3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,5970,0,Antigua and Barbuda1985,3850,Silent
Antigua and Barbuda,1985,male,5-14 years,7304,0,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,male,55-74 years,2723,0,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,424,0,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,7668,0,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,female,25-34 years,6209,0,Antigua and Barbuda1986,4740,Boomers
Antigua and Barbuda,1986,female,35-54 years,6101,0,Antigua and Barbuda1986,4740,Silent
Antigua and Barbuda,1986,female,5-14 years,6907,0,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,female,55-74 years,3764,0,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,1014,0,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,7563,0,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,male,25-34 years,6023,0,Antigua and Barbuda1986,4740,Boomers
Antigua and Barbuda,1986,male,35-54 years,5947,0,Antigua and Barbuda1986,4740,Silent
Antigua and Barbuda,1986,male,5-14 years,6827,0,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,male,55-74 years,2771,0,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,476,0,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,7583,0,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,female,25-34 years,6101,0,Antigua and Barbuda1987,5595,Boomers
Antigua and Barbuda,1987,female,35-54 years,6059,0,Antigua and Barbuda1987,5595,Silent
Antigua and Barbuda,1987,female,5-14 years,6623,0,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,female,55-74 years,3738,0,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,1081,0,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,7421,0,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,male,25-34 years,5893,0,Antigua and Barbuda1987,5595,Boomers
Antigua and Barbuda,1987,male,35-54 years,5927,0,Antigua and Barbuda1987,5595,Silent
Antigua and Barbuda,1987,male,5-14 years,6499,0,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,male,55-74 years,2798,0,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,male,75+ years,538,0,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,7413,0,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,female,25-34 years,6041,0,Antigua and Barbuda1988,6693,Boomers
Antigua and Barbuda,1988,female,35-54 years,6021,0,Antigua and Barbuda1988,6693,Silent
Antigua and Barbuda,1988,female,5-14 years,6527,0,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,female,55-74 years,3708,0,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,female,75+ years,1141,0,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,7209,0,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,male,25-34 years,5826,0,Antigua and Barbuda1988,6693,Boomers
Antigua and Barbuda,1988,male,35-54 years,5907,0,Antigua and Barbuda1988,6693,Silent
Antigua and Barbuda,1988,male,5-14 years,6355,0,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,male,55-74 years,2813,0,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,male,75+ years,603,0,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,7152,0,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,female,25-34 years,6059,0,Antigua and Barbuda1989,7407,Boomers
Antigua and Barbuda,1989,female,35-54 years,5969,0,Antigua and Barbuda1989,7407,Silent
Antigua and Barbuda,1989,female,5-14 years,6621,0,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,female,55-74 years,3696,0,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,female,75+ years,1195,0,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,male,15-24 years,6927,0,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,male,25-34 years,5835,0,Antigua and Barbuda1989,7407,Boomers
Antigua and Barbuda,1989,male,35-54 years,5862,0,Antigua and Barbuda1989,7407,Silent
Antigua and Barbuda,1989,male,5-14 years,6403,0,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,male,55-74 years,2843,0,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,male,75+ years,676,0,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,5799,17.24,Antigua and Barbuda1990,7744,Silent
Antigua and Barbuda,1990,female,15-24 years,6827,0,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,female,25-34 years,6172,0,Antigua and Barbuda1990,7744,Boomers
Antigua and Barbuda,1990,female,35-54 years,5895,0,Antigua and Barbuda1990,7744,Silent
Antigua and Barbuda,1990,female,5-14 years,6877,0,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,female,55-74 years,3706,0,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,female,75+ years,1252,0,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,male,15-24 years,6598,0,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,male,25-34 years,5937,0,Antigua and Barbuda1990,7744,Boomers
Antigua and Barbuda,1990,male,5-14 years,6611,0,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,male,55-74 years,2902,0,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,male,75+ years,758,0,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,6595,0,Antigua and Barbuda1991,7976,Generation X
Antigua and Barbuda,1991,female,25-34 years,6396,0,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,female,35-54 years,6198,0,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,female,5-14 years,7089,0,Antigua and Barbuda1991,7976,Millenials
Antigua and Barbuda,1991,female,55-74 years,3665,0,Antigua and Barbuda1991,7976,Silent
Antigua and Barbuda,1991,female,75+ years,1293,0,Antigua and Barbuda1991,7976,G.I. Generation
Antigua and Barbuda,1991,male,15-24 years,6401,0,Antigua and Barbuda1991,7976,Generation X
Antigua and Barbuda,1991,male,25-34 years,6156,0,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,male,35-54 years,6122,0,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,male,5-14 years,6818,0,Antigua and Barbuda1991,7976,Millenials
Antigua and Barbuda,1991,male,55-74 years,2857,0,Antigua and Barbuda1991,7976,Silent
Antigua and Barbuda,1991,male,75+ years,804,0,Antigua and Barbuda1991,7976,G.I. Generation
Antigua and Barbuda,1992,female,15-24 years,6369,0,Antigua and Barbuda1992,8087,Generation X
Antigua and Barbuda,1992,female,25-34 years,6650,0,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,female,35-54 years,6534,0,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,female,5-14 years,7311,0,Antigua and Barbuda1992,8087,Millenials
Antigua and Barbuda,1992,female,55-74 years,3648,0,Antigua and Barbuda1992,8087,Silent
Antigua and Barbuda,1992,female,75+ years,1339,0,Antigua and Barbuda1992,8087,G.I. Generation
Antigua and Barbuda,1992,male,15-24 years,6221,0,Antigua and Barbuda1992,8087,Generation X
Antigua and Barbuda,1992,male,25-34 years,6409,0,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,male,35-54 years,6497,0,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,male,5-14 years,7059,0,Antigua and Barbuda1992,8087,Millenials
Antigua and Barbuda,1992,male,55-74 years,2851,0,Antigua and Barbuda1992,8087,Silent
